Spacecraft,Spacecraft,Organization,Date,Type,Status,Notes,Image,Ref
Rocket Lab's Venus probe,Rocket Lab's Venus probe,MIT/Rocket Lab,30 December 2024,atmospheric probe,under development,To search for organic molecules in the Venusian cloud particles and constrain the particle composition.,,
Venus Orbiter Mission,Venus Orbiter Mission,ISRO,December 2024,"orbiter, atmospheric balloon",under development,To study the Venusian atmosphere and conduct geological mapping.,,
Venera-D,Venera-D,RKA,2029,"orbiter, lander",proposed,,,
Dragonfly,Dragonfly,NASA,2027,flyby,planned,gravity assist en route to Titan,,
Solar Orbiter,Solar Orbiter,ESA,March 2028,flyby,proposed,mission extension,,2020-010A
Solar Orbiter,Solar Orbiter,ESA,June 2029,flyby,proposed,mission extension,,2020-010A
Solar Orbiter,Solar Orbiter,ESA,September 2030,flyby,proposed,mission extension,,2020-010A
DAVINCI+,DAVINCI+,NASA,2028-2030,atmospheric probe,planned,,,
Tianwen-4,Tianwen-4,CNSA,April 2030,flyby,proposed,gravity assist en route to Jupiter,,
VERITAS,VERITAS,NASA,NET 2031,orbiter,planned,,,
EnVision,EnVision,ESA,2034,orbiter,planned,,,
Venus In Situ Explorer,Venus In Situ Explorer,NASA,TBD,lander or airplane,proposed,,,
